snp_a,snp_b,r2,distance_kb
rs1000199,rs1000202,0.24,469.6
rs1000200,rs1000203,0.74,167.2
rs1000201,rs1000204,0.48,344.7
rs1000202,rs1000205,0.17,482.1
rs1000203,rs1000206,0.66,189.8
rs1000204,rs1000207,0.39,367.3
rs1000205,rs1000208,0.80,134.9
rs1000206,rs1000209,0.52,312.4
rs1000207,rs1000210,0.20,489.9
rs1000208,rs1000211,0.69,182.5
rs1000209,rs1000212,0.42,360.1
rs1000210,rs1000213,0.14,497.5
rs1000211,rs1000214,0.61,195.2
rs1000212,rs1000215,0.36,372.7
rs1000213,rs1000216,0.79,140.3
rs1000214,rs1000217,0.51,317.8
rs1000215,rs1000218,0.19,495.3
rs1000216,rs1000219,0.68,168.9
rs1000217,rs1000220,0.41,346.4
rs1000218,rs1000221,0.86,113.6
rs1000219,rs1000222,0.56,291.1
rs1000220,rs1000223,0.23,468.6
rs1000221,rs1000224,0.73,164.7
rs1000222,rs1000225,0.47,342.2
rs1000223,rs1000226,0.16,479.6
rs1000224,rs1000227,0.65,187.3
rs1000225,rs1000228,0.38,364.8
rs1000226,rs1000229,0.82,132.4
rs1000227,rs1000230,0.54,309.9
rs1000228,rs1000231,0.21,487.4
rs1000229,rs1000232,0.71,180.1
rs1000230,rs1000233,0.44,357.6
rs1000231,rs1000234,0.13,495.1
rs1000232,rs1000235,0.60,192.7
rs1000233,rs1000236,0.35,370.2
rs1000234,rs1000237,0.78,137.8
rs1000235,rs1000238,0.50,315.3
rs1000236,rs1000239,0.18,492.8
rs1000237,rs1000240,0.67,165.9
rs1000238,rs1000241,0.40,343.4
rs1000239,rs1000242,0.12,480.9
rs1000240,rs1000243,0.58,188.5
rs1000241,rs1000244,0.33,366.1
rs1000242,rs1000245,0.76,133.6
rs1000243,rs1000246,0.49,311.2
rs1000244,rs1000247,0.17,488.7
rs1000245,rs1000248,0.66,181.3
rs1000246,rs1000249,0.39,358.8
rs1000247,rs1000250,0.83,126.4
rs1000248,rs1000251,0.53,304.9
rs1000249,rs1000252,0.22,472.4
rs1000250,rs1000253,0.72,169.1
rs1000251,rs1000254,0.45,346.6
rs1000252,rs1000255,0.15,484.1
rs1000253,rs1000256,0.64,191.7
rs1000254,rs1000257,0.37,369.2
rs1000255,rs1000258,0.81,136.8
rs1000256,rs1000259,0.54,314.3
rs1000257,rs1000260,0.19,491.8
rs1000258,rs1000261,0.68,175.5
rs1000259,rs1000262,0.41,353.1
rs1000260,rs1000263,0.89,120.7
rs1000261,rs1000264,0.55,288.2
rs1000262,rs1000265,0.24,465.7
rs1000263,rs1000266,0.74,163.3
rs1000264,rs1000267,0.48,340.8
rs1000265,rs1000268,0.16,488.2
rs1000266,rs1000269,0.65,185.9
rs1000267,rs1000270,0.38,363.4
rs1000268,rs1000271,0.80,130.1
rs1000269,rs1000272,0.52,307.6
rs1000270,rs1000273,0.20,485.1
rs1000271,rs1000274,0.69,178.7
rs1000272,rs1000275,0.42,356.2
rs1000273,rs1000276,0.13,493.6
rs1000274,rs1000277,0.61,193.8
rs1000275,rs1000278,0.36,371.3
rs1000276,rs1000279,0.79,138.9
rs1000277,rs1000280,0.51,316.4
rs1000278,rs1000281,0.18,493.9
rs1000279,rs1000282,0.68,166.6
rs1000280,rs1000283,0.41,344.1
rs1000281,rs1000284,0.85,123.7
rs1000282,rs1000285,0.56,291.2
rs1000283,rs1000286,0.23,468.7
rs1000284,rs1000287,0.73,161.3
rs1000285,rs1000288,0.47,338.8
rs1000286,rs1000289,0.16,486.2
rs1000287,rs1000290,0.64,183.9
rs1000288,rs1000291,0.37,361.4
rs1000289,rs1000292,0.82,128.1
rs1000290,rs1000293,0.54,305.6
rs1000291,rs1000294,0.21,483.1
rs1000292,rs1000295,0.70,176.7
rs1000293,rs1000296,0.44,354.2
rs1000294,rs1000297,0.12,491.6
rs1000295,rs1000298,0.59,194.3
rs1000296,rs1000299,0.34,371.8
rs1000297,rs1000300,0.77,139.9
rs1000298,rs1000301,0.50,317.4
rs1000299,rs1000302,0.19,494.9
rs1000300,rs1000303,0.67,167.6
rs1000301,rs1000304,0.40,345.1
rs1000302,rs1000305,0.11,482.5
rs1000303,rs1000306,0.58,189.2
rs1000304,rs1000307,0.33,366.7
rs1000305,rs1000308,0.75,134.8
rs1000306,rs1000309,0.49,312.3
rs1000307,rs1000310,0.17,489.8
rs1000308,rs1000311,0.66,182.4
rs1000309,rs1000312,0.39,359.9
rs1000310,rs1000313,0.83,127.5
rs1000311,rs1000314,0.53,305.1
rs1000312,rs1000315,0.22,472.6
rs1000313,rs1000316,0.71,170.2
rs1000314,rs1000317,0.45,347.7
rs1000315,rs1000318,0.15,485.1
rs1000316,rs1000319,0.64,192.8
rs1000317,rs1000320,0.37,370.3
rs1000318,rs1000321,0.81,137.9
rs1000319,rs1000322,0.54,315.4
rs1000320,rs1000323,0.18,492.9
rs1000321,rs1000324,0.68,176.6
rs1000322,rs1000325,0.41,354.1
rs1000323,rs1000326,0.87,121.7
rs1000324,rs1000327,0.55,289.2
rs1000325,rs1000328,0.24,466.7
rs1000326,rs1000329,0.73,164.3
rs1000327,rs1000330,0.47,341.8
rs1000328,rs1000331,0.16,479.2
rs1000329,rs1000332,0.65,186.9
rs1000330,rs1000333,0.38,364.4
rs1000331,rs1000334,0.80,131.1
rs1000332,rs1000335,0.52,308.6
rs1000333,rs1000336,0.20,486.1
rs1000334,rs1000337,0.69,179.7
rs1000335,rs1000338,0.42,357.2
rs1000336,rs1000339,0.13,494.6
rs1000337,rs1000340,0.61,194.8
rs1000338,rs1000341,0.36,372.3
rs1000339,rs1000342,0.78,139.9
rs1000340,rs1000343,0.51,317.4
rs1000341,rs1000344,0.19,494.9
rs1000342,rs1000345,0.67,167.6
rs1000343,rs1000346,0.40,345.1
rs1000344,rs1000347,0.84,124.7
rs1000345,rs1000348,0.56,292.2
rs1000346,rs1000349,0.23,469.7
rs1000347,rs1000350,0.72,162.3
rs1000348,rs1000351,0.46,339.8
rs1000349,rs1000352,0.17,487.2
rs1000350,rs1000353,0.65,184.9
rs1000351,rs1000354,0.38,362.4
rs1000352,rs1000355,0.82,129.1
rs1000353,rs1000356,0.54,306.6
rs1000354,rs1000357,0.21,484.1
rs1000355,rs1000358,0.70,177.7
rs1000356,rs1000359,0.44,355.2
rs1000357,rs1000360,0.13,492.6
rs1000358,rs1000361,0.60,195.3
rs1000359,rs1000362,0.35,372.8
rs1000360,rs1000363,0.79,140.9
rs1000361,rs1000364,0.51,318.4
rs1000362,rs1000365,0.19,495.9
rs1000363,rs1000366,0.68,168.6
rs1000364,rs1000367,0.41,346.1
rs1000365,rs1000368,0.90,117.7
rs1000366,rs1000369,0.57,285.2
rs1000367,rs1000370,0.25,462.7
rs1000368,rs1000371,0.74,160.3
rs1000369,rs1000372,0.48,337.8
rs1000370,rs1000373,0.16,485.2
rs1000371,rs1000374,0.66,182.9
rs1000372,rs1000375,0.39,360.4
rs1000373,rs1000376,0.83,128.1
rs1000374,rs1000377,0.53,305.6
rs1000375,rs1000378,0.22,483.1
rs1000376,rs1000379,0.71,176.7
rs1000377,rs1000380,0.45,354.2
rs1000378,rs1000381,0.14,491.6
rs1000379,rs1000382,0.63,194.3
rs1000380,rs1000383,0.36,371.8
rs1000381,rs1000384,0.80,139.9
rs1000382,rs1000385,0.52,317.4
rs1000383,rs1000386,0.20,494.9
rs1000384,rs1000387,0.69,167.6
rs1000385,rs1000388,0.42,345.1
rs1000386,rs1000389,0.11,482.5
rs1000387,rs1000390,0.58,189.2
rs1000388,rs1000391,0.33,366.7
rs1000389,rs1000392,0.76,134.8
rs1000390,rs1000393,0.49,312.3
rs1000391,rs1000394,0.18,489.8
rs1000392,rs1000395,0.67,182.4
rs1000393,rs1000396,0.40,359.9
rs1000394,rs1000397,0.85,125.6
rs1000395,rs1000398,0.55,293.1
rs1000396,rs1000399,0.23,470.6
rs1000397,rs1000400,0.72,168.2
rs1000398,rs1000401,0.46,345.7
rs1000399,rs1000402,0.17,483.1
rs1000400,rs1000403,0.64,190.8
rs1000401,rs1000404,0.37,368.3
rs1000402,rs1000405,0.81,135.9
rs1000403,rs1000406,0.54,313.4
rs1000404,rs1000407,0.21,490.9
rs1000405,rs1000408,0.70,174.6
rs1000406,rs1000409,0.44,352.1
rs1000407,rs1000410,0.13,489.5
rs1000408,rs1000411,0.61,197.2
rs1000409,rs1000412,0.35,374.7
